# V0=6V p=1.2x10^{-4} Rfili=6.5
# Guad=x2 Vponte=5.65 (da misurare) FS multimetro 6mV
# Raffreddamento
# Tdito (K)	Vout (V)
111.470	0.396
112.339	0.400
111.760	0.400
111.470	0.396
111.470	0.410
111.760	0.400
111.760	0.400
111.760	0.400
111.760	0.405
111.760	0.396
112.049	0.410
111.760	0.400
111.760	0.410
112.049	0.400
112.049	0.400
112.049	0.396
112.339	0.400
112.049	0.396
112.049	0.396
112.049	0.400
112.049	0.400
112.049	0.396
112.339	0.405
112.049	0.405
112.339	0.400
112.339	0.400
112.339	0.410
112.339	0.405
112.339	0.400
112.339	0.410
112.339	0.396
112.339	0.381
112.628	0.396
112.628	0.396
112.628	0.400
112.628	0.405
112.628	0.400
112.628	0.400
112.628	0.396
112.918	0.400
112.918	0.405
112.628	0.415
112.339	0.405
112.628	0.400
112.628	0.405
112.628	0.405
112.918	0.405
112.918	0.400
112.918	0.405
112.628	0.400
112.918	0.396
112.918	0.400
112.918	0.400
112.918	0.400
113.208	0.400
113.208	0.400
113.208	0.400
112.918	0.396
113.497	0.410
113.208	0.400
113.208	0.400
112.918	0.405
113.208	0.405
113.208	0.405
113.208	0.410
113.208	0.405
113.208	0.405
113.497	0.400
113.497	0.400
113.497	0.386
114.076	0.400
113.497	0.400
113.497	0.400
113.787	0.396
113.787	0.400
113.787	0.400
113.787	0.396
113.787	0.405
113.787	0.420
113.497	0.410
113.787	0.405
113.787	0.405
113.787	0.405
113.787	0.410
113.787	0.410
113.787	0.405
113.787	0.405
113.787	0.405
114.076	0.400
114.076	0.400
114.076	0.400
113.787	0.410
114.076	0.400
114.076	0.405
114.076	0.405
115.235	0.405
114.366	0.405
114.076	0.420
114.366	0.396
114.076	0.400
114.366	0.405
114.076	0.405
114.076	0.405
114.366	0.430
114.366	0.410
114.366	0.386
114.366	0.400
114.366	0.400
114.366	0.400
114.655	0.400
114.655	0.400
114.655	0.405
114.655	0.405
114.655	0.405
114.655	0.400
114.655	0.410
114.655	0.410
114.655	0.415
114.945	0.410
114.655	0.410
114.945	0.405
114.945	0.405
114.655	0.410
114.945	0.400
114.945	0.400
114.945	0.410
115.235	0.405
114.945	0.400
114.945	0.415
115.235	0.410
114.945	0.400
114.945	0.400
115.235	0.400
115.235	0.396
115.235	0.405
115.235	0.405
115.235	0.381
115.235	0.415
115.235	0.410
115.235	0.410
115.235	0.420
115.524	0.405
115.524	0.410
115.235	0.405
115.524	0.396
115.524	0.405
115.524	0.410
115.524	0.410
115.524	0.400
115.524	0.405
115.524	0.400
115.814	0.400
115.814	0.400
115.814	0.435
115.814	0.400
116.103	0.410
115.524	0.420
115.814	0.396
115.814	0.396
115.814	0.410
115.814	0.410
116.103	0.415
115.814	0.410
116.103	0.381
116.103	0.405
115.814	0.410
116.103	0.400
116.103	0.405
116.103	0.405
116.103	0.410
116.393	0.405
116.103	0.400
116.103	0.405
116.393	0.405
116.103	0.405
116.103	0.400
116.103	0.410
116.393	0.410
116.393	0.410
116.683	0.405
116.683	0.410
116.393	0.410
116.683	0.405
116.393	0.410
116.393	0.405
116.393	0.405
116.683	0.405
116.393	0.410
116.683	0.405
116.683	0.405
116.683	0.400
116.683	0.400
116.683	0.405
116.683	0.400
116.972	0.405
116.972	0.405
116.683	0.410
116.683	0.405
116.972	0.396
116.972	0.410
116.683	0.410
116.972	0.410
117.262	0.405
117.262	0.410
116.972	0.410
116.683	0.410
117.262	0.405
117.262	0.405
116.972	0.410
117.262	0.410
117.262	0.391
117.262	0.410
117.262	0.405
116.972	0.435
116.972	0.415
117.262	0.420
117.551	0.405
117.551	0.396
117.262	0.405
117.551	0.405
117.841	0.400
117.551	0.405
117.551	0.410
117.551	0.439
117.262	0.415
117.262	0.400
117.551	0.405
117.551	0.410
117.551	0.405
117.841	0.400
117.841	0.410
117.841	0.405
117.841	0.400
117.551	0.410
117.551	0.410
117.841	0.405
117.841	0.410
117.841	0.405
117.841	0.410
117.841	0.396
118.131	0.405
118.131	0.405
118.131	0.410
118.131	0.405
117.841	0.410
118.420	0.410
118.131	0.400
118.131	0.405
118.131	0.405
118.131	0.405
118.420	0.410
118.420	0.410
118.131	0.410
118.420	0.410
118.420	0.400
118.131	0.430
118.420	0.415
118.420	0.400
118.420	0.400
118.420	0.400
118.710	0.405
118.420	0.405
118.420	0.410
118.710	0.405
118.131	0.410
118.710	0.405
118.420	0.405
118.710	0.396
118.710	0.405
118.710	0.405
118.710	0.405
118.710	0.405
118.710	0.410
118.710	0.420
118.420	0.386
118.999	0.400
118.999	0.405
118.999	0.400
118.999	0.400
118.999	0.400
119.289	0.400
119.289	0.405
118.999	0.405
118.999	0.405
118.999	0.405
118.999	0.405
119.289	0.400
118.999	0.405
119.289	0.405
119.289	0.396
119.289	0.400
119.289	0.405
119.289	0.410
119.289	0.396
119.289	0.405
119.289	0.396
119.578	0.396
119.578	0.410
119.578	0.405
119.578	0.352
119.578	0.400
119.578	0.405
119.868	0.400
119.868	0.391
119.578	0.400
119.578	0.400
119.868	0.396
119.868	0.405
119.578	0.405
119.868	0.405
119.578	0.400
119.868	0.400
119.868	0.400
119.868	0.405
119.868	0.405
119.868	0.405
119.868	0.400
120.158	0.410
120.158	0.405
119.868	0.405
120.158	0.396
120.158	0.396
120.158	0.400
120.158	0.396
120.158	0.405
120.158	0.400
120.158	0.400
120.158	0.400
120.447	0.405
120.447	0.400
120.447	0.396
120.447	0.400
120.447	0.396
120.447	0.400
120.447	0.400
120.447	0.400
120.447	0.400
120.447	0.391
120.447	0.410
120.447	0.396
120.447	0.405
120.447	0.400
120.447	0.405
120.447	0.405
120.737	0.405
120.737	0.410
120.737	0.400
120.737	0.400
120.737	0.386
120.737	0.396
120.447	0.400
120.737	0.391
121.026	0.396
120.737	0.410
120.737	0.400
120.737	0.396
121.026	0.400
121.026	0.400
120.737	0.396
121.026	0.396
121.316	0.410
121.026	0.396
121.026	0.415
121.026	0.396
121.026	0.400
121.026	0.405
121.316	0.405
121.316	0.400
121.026	0.400
121.316	0.405
121.606	0.405
121.606	0.396
121.316	0.400
121.316	0.405
121.606	0.405
121.606	0.405
121.316	0.415
121.606	0.400
121.606	0.400
121.606	0.400
121.606	0.400
121.606	0.396
121.606	0.400
121.606	0.400
121.606	0.405
121.606	0.405
121.606	0.405
121.606	0.410
121.895	0.400
121.895	0.400
121.895	0.400
121.895	0.396
121.606	0.405
122.185	0.396
121.895	0.410
121.895	0.400
121.895	0.415
122.185	0.396
121.895	0.400
122.185	0.410
122.185	0.386
122.185	0.396
122.185	0.400
122.185	0.400
122.185	0.400
122.185	0.405
122.474	0.400
122.185	0.396
122.185	0.400
122.474	0.396
122.185	0.405
122.185	0.391
122.185	0.400
122.185	0.405
122.474	0.405
122.474	0.386
122.474	0.405
122.185	0.400
122.474	0.405
122.474	0.386
122.764	0.400
122.764	0.400
122.474	0.400
122.764	0.410
122.764	0.400
122.764	0.405
122.764	0.400
122.764	0.391
122.764	0.410
122.474	0.400
122.764	0.405
123.054	0.400
123.054	0.396
123.054	0.396
122.764	0.396
123.054	0.400
123.054	0.396
122.764	0.410
123.343	0.396
122.764	0.396
122.764	0.410
123.343	0.400
123.054	0.396
123.054	0.391
123.054	0.396
123.054	0.396
123.633	0.415
123.343	0.400
123.054	0.400
123.343	0.415
123.343	0.400
123.343	0.396
123.343	0.396
123.054	0.391
123.922	0.391
123.343	0.400
123.343	0.396
123.343	0.391
123.633	0.400
123.633	0.396
123.343	0.400
123.343	0.396
123.633	0.386
123.922	0.400
123.633	0.396
123.922	0.396
123.922	0.396
124.212	0.400
123.343	0.400
123.922	0.400
123.633	0.405
123.922	0.396
123.922	0.400
123.922	0.391
123.922	0.400
123.922	0.400
123.922	0.396
123.922	0.410
123.922	0.396
123.343	0.400
123.922	0.391
123.922	0.400
124.501	0.396
124.212	0.396
124.212	0.396
124.212	0.396
124.501	0.396
124.501	0.391
124.212	0.400
124.212	0.391
124.212	0.396
124.501	0.391
124.501	0.396
124.212	0.396
124.501	0.396
124.501	0.400
124.791	0.400
124.501	0.396
124.212	0.400
124.501	0.396
124.501	0.400
124.501	0.396
124.501	0.396
124.212	0.396
124.791	0.400
124.791	0.396
124.501	0.400
124.791	0.396
124.791	0.391
124.791	0.386
124.501	0.396
125.081	0.391
125.081	0.396
124.791	0.396
124.791	0.396
125.081	0.396
125.081	0.386
125.081	0.391
124.791	0.400
125.081	0.391
125.081	0.400
125.081	0.391
125.081	0.400
125.370	0.396
125.081	0.400
125.081	0.400
125.370	0.396
